"prompt_id","task_type","language","text"
"1","summarization","EN","Summarize the following paragraph in one sentence: ""Artificial intelligence is changing many industries by automating repetitive work and helping people make faster decisions. Companies use AI to detect patterns in large datasets, but the results depend on data quality and careful evaluation. While productivity can increase, some tasks may be replaced and employees may need reskilling. Clear policies are also needed to reduce privacy risks and unfair outcomes."""
"1","summarization","DE","Fasse den folgenden Absatz in einem Satz zusammen: „Künstliche Intelligenz verändert viele Branchen, indem sie repetitive Arbeit automatisiert und Menschen hilft, schneller Entscheidungen zu treffen. Unternehmen nutzen KI, um Muster in großen Datensätzen zu erkennen, aber die Ergebnisse hängen von Datenqualität und sorgfältiger Bewertung ab. Obwohl die Produktivität steigen kann, können einige Tätigkeiten ersetzt werden und Beschäftigte benötigen möglicherweise Umschulungen. Außerdem sind klare Richtlinien nötig, um Datenschutzrisiken und unfairen Ergebnissen vorzubeugen."""
"1","summarization","TR","Aşağıdaki paragrafı tek cümlede özetle: ""Yapay zeka, tekrarlayan işleri otomatikleştirerek ve daha hızlı karar vermeye yardımcı olarak birçok sektörü dönüştürüyor. Şirketler büyük veri kümelerinde örüntüleri yakalamak için yapay zekayı kullanıyor, ancak sonuçlar veri kalitesine ve dikkatli değerlendirmeye bağlıdır. Verimlilik artabilse de bazı görevler ortadan kalkabilir ve çalışanların yeniden beceri kazanması gerekebilir. Ayrıca gizlilik risklerini ve adaletsiz sonuçları azaltmak için net politikalar gerekir."""
"2","summarization","EN","Summarize the following text in one sentence: ""Climate change is contributing to rising sea levels and more frequent extreme weather events in many regions. Coastal cities face higher flood risk, and storms can damage infrastructure and disrupt supply chains. Adaptation measures such as flood barriers and heat plans can reduce harm, but they require long-term funding. Reducing emissions remains essential to limit future impacts."""
"2","summarization","DE","Fasse diesen Text in einem Satz zusammen: „Der Klimawandel trägt in vielen Regionen zu steigenden Meeresspiegeln und häufigeren Extremwetterereignissen bei. Küstenstädte sind stärker von Überschwemmungen bedroht, und Stürme können Infrastruktur beschädigen und Lieferketten stören. Anpassungsmaßnahmen wie Hochwasserschutz und Hitzeschutzpläne können Schäden verringern, erfordern jedoch langfristige Finanzierung. Gleichzeitig bleibt die Reduktion von Emissionen entscheidend, um zukünftige Folgen zu begrenzen."""
"2","summarization","TR","Bu metni tek cümlede özetle: ""İklim değişikliği, birçok bölgede deniz seviyelerinin yükselmesine ve aşırı hava olaylarının daha sık görülmesine katkıda bulunuyor. Kıyı şehirlerinde sel riski artıyor ve fırtınalar altyapıya zarar vererek tedarik zincirlerini aksatabiliyor. Setler ve sıcak hava planları gibi uyum önlemleri zararı azaltabilir, ancak uzun vadeli finansman gerektirir. Gelecekteki etkileri sınırlamak için emisyonların azaltılması hâlâ kritik önemdedir."""
"3","summarization","EN","Summarize the following paragraph in one sentence: ""Electric vehicles can reduce local air pollution because they have no tailpipe emissions, but their total climate benefit depends on how electricity is generated. Battery production requires mining and energy-intensive processing, which can create environmental impacts. Recycling and longer battery lifetimes can improve sustainability over time. Policy and infrastructure choices strongly influence whether the overall system becomes cleaner."""
"3","summarization","DE","Fasse den folgenden Absatz in einem Satz zusammen: „Elektrofahrzeuge können die lokale Luftverschmutzung reduzieren, da sie keine Auspuffemissionen haben, aber ihr gesamter Klimavorteil hängt davon ab, wie Strom erzeugt wird. Die Batterieproduktion erfordert Rohstoffabbau und energieintensive Verarbeitung, was Umweltbelastungen verursachen kann. Recycling und längere Batterielebensdauern können die Nachhaltigkeit mit der Zeit verbessern. Politische Entscheidungen und Infrastruktur beeinflussen stark, ob das Gesamtsystem sauberer wird."""
"3","summarization","TR","Aşağıdaki paragrafı tek cümlede özetle: ""Elektrikli araçlar egzoz emisyonu üretmedikleri için yerel hava kirliliğini azaltabilir, ancak toplam iklim faydası elektriğin nasıl üretildiğine bağlıdır. Pil üretimi madencilik ve enerji yoğun işlemler gerektirir ve bu da çevresel etkiler yaratabilir. Geri dönüşüm ve pillerin daha uzun ömürlü olması zamanla sürdürülebilirliği artırabilir. Politika ve altyapı tercihleri, sistemin genel olarak daha temiz hale gelip gelmeyeceğini güçlü biçimde belirler."""
"4","summarization","EN","Summarize the following paragraph in one sentence: ""Remote work can increase flexibility and reduce commuting time, which may improve well-being for some employees. However, it can also reduce informal collaboration and make onboarding harder for new team members. Communication often becomes more scheduled and documentation-heavy, which changes how teams coordinate. Clear boundaries and hybrid policies can help prevent burnout and maintain productivity."""
